symbol,open,high,low,close,volume,MACD,RSI,positions,profit
NSE:TITAN,1495.15,1520.0,1492.3,1501.95,1951230.0,0.0,,0,
NSE:TITAN,1502.0,1525.0,1497.1,1519.35,3299825.0,1.3880341880339984,100.0,1,1087.9507000000003
NSE:TITAN,1514.2,1528.55,1451.0,1471.65,2298069.0,-1.345420897557915,26.72811059907826,-1,
NSE:TITAN,1466.0,1510.0,1451.2,1498.8,3305444.0,-1.305872364644756,48.29268292682921,0,
NSE:TITAN,1504.7,1519.8,1478.05,1490.85,2847742.0,-1.8941933446742496,44.46107784431129,0,
NSE:TITAN,1520.0,1520.0,1486.0,1495.9,1947894.0,-1.9306933336470138,47.125890736342065,0,
NSE:TITAN,1503.3,1547.65,1496.15,1543.55,2497242.0,1.8638516132677978,63.60366252452584,1,
NSE:TITAN,1554.0,1556.85,1528.45,1540.1,2081338.0,4.540331539046974,62.20019187719858,0,
NSE:TITAN,1548.0,1555.7,1533.3,1552.6,1151230.0,7.582698073044412,64.99851939591352,0,
NSE:TITAN,1549.0,1571.0,1544.2,1567.15,2031709.0,11.04058982391939,67.77535441657582,0,
NSE:TITAN,1562.1,1573.0,1555.95,1558.6,1003018.0,12.94189430310712,64.75644699140398,0,
NSE:TITAN,1566.0,1567.0,1538.0,1550.9,1383979.0,13.669789330355798,62.258953168044094,0,
NSE:TITAN,1545.0,1576.85,1541.5,1570.95,1351709.0,15.683726581557949,65.70323167956305,0,
NSE:TITAN,1578.0,1621.35,1561.85,1572.6,3312171.0,17.214489652083103,65.95888863790375,0,
NSE:TITAN,1570.0,1570.0,1535.0,1542.35,2820445.0,15.804523514721268,58.02861685214624,0,
NSE:TITAN,1547.9,1555.3,1521.5,1548.6,3478504.0,15.018316159070991,56.082345601996266,0,
NSE:TITAN,1560.0,1572.0,1545.7,1563.9,1425529.0,15.45170565354374,72.17015140591202,0,
NSE:TITAN,1560.0,1560.8,1524.0,1527.1,2550741.0,12.679555477947815,56.49977032613687,0,
NSE:TITAN,1530.0,1536.0,1495.0,1505.8,3527208.0,8.664001289341513,53.23523046959533,0,
NSE:TITAN,1508.0,1517.85,1480.05,1489.95,2814477.0,4.1547893035181005,48.76989869753979,0,
NSE:TITAN,1489.95,1509.0,1471.3,1477.25,1725346.0,-0.4385225292896848,33.97776703721608,-1,
NSE:TITAN,1467.0,1509.0,1460.0,1503.55,2302268.0,-1.9342680105003183,42.0457018498368,0,
NSE:TITAN,1518.0,1524.0,1501.0,1519.9,2279346.0,-1.779831928708063,43.00085616438361,0,
NSE:TITAN,1519.9,1541.0,1519.9,1531.3,1838240.0,-0.7291503041844862,42.221740073768686,0,
NSE:TITAN,1533.1,1549.85,1512.05,1517.3,1558030.0,-1.0144664068607199,41.246290801186944,0,
NSE:TITAN,1522.0,1534.7,1487.0,1491.2,1364197.0,-3.308495075261135,38.26189539913487,0,
NSE:TITAN,1505.05,1512.8,1478.75,1499.85,1604484.0,-4.3780788459419,35.364347468093825,0,
NSE:TITAN,1505.0,1505.0,1432.0,1440.7,2021747.0,-9.884697710766659,28.04593874833557,0,
NSE:TITAN,1420.0,1454.45,1415.65,1450.1,1850239.0,-13.336496562572393,33.5002682883205,0,
NSE:TITAN,1456.0,1469.25,1415.25,1420.3,2435997.0,-18.26612248278957,28.83536786539095,0,
NSE:TITAN,1437.8,1508.55,1423.65,1501.55,2215933.0,-15.438722591417672,41.55263514428937,0,
NSE:TITAN,1515.0,1536.0,1482.0,1485.45,1974202.0,-14.331913872064888,44.02181713793599,0,
NSE:TITAN,1492.0,1529.0,1492.0,1525.15,1853072.0,-10.13447782274784,52.63803680981598,0,
NSE:TITAN,1530.0,1540.0,1488.1,1513.6,2728965.0,-7.651763222026375,53.26251896813352,0,
NSE:TITAN,1518.55,1538.95,1504.5,1509.45,1344007.0,-5.950471005255849,54.54930771404353,0,
NSE:TITAN,1514.0,1564.85,1510.05,1541.7,2683198.0,-1.9770885447630917,55.30081978602197,0,
NSE:TITAN,1548.0,1584.65,1543.05,1559.9,2364475.0,2.610343166959183,55.52944429084879,1,
NSE:TITAN,1575.4,1588.0,1526.0,1563.15,2125469.0,6.433996580223493,54.50431339273089,0,
NSE:TITAN,1552.0,1575.9,1511.25,1524.7,5970196.0,6.289178068334422,50.97883597883599,0,
NSE:TITAN,1536.7,1536.7,1491.0,1494.2,3284441.0,3.670996293283224,50.39225941422595,0,
NSE:TITAN,1506.0,1518.5,1476.75,1484.75,3156535.0,0.824033406353692,48.029749478079346,0,
NSE:TITAN,1492.15,1505.0,1461.0,1471.85,3090249.0,-2.4449435951592022,54.622347529307,-1,
NSE:TITAN,1469.4,1483.0,1449.5,1460.4,2096959.0,-5.89163562090107,51.51917404129796,0,
NSE:TITAN,1465.1,1471.9,1429.0,1433.0,2686046.0,-10.71064919524656,51.88651218062983,0,
NSE:TITAN,1434.0,1444.9,1412.8,1425.55,2543997.0,-14.958472945002086,35.54033485540336,0,
NSE:TITAN,1425.0,1433.1,1396.0,1405.25,1931189.0,-19.735446276633866,34.9812734082397,0,
NSE:TITAN,1415.0,1436.95,1400.15,1424.05,1871135.0,-21.7534687298878,29.45956928078016,0,
NSE:TITAN,1424.05,1474.0,1424.05,1450.8,1110666.0,-20.952734541070868,37.98316111748948,0,
NSE:TITAN,1460.0,1462.95,1430.5,1434.45,1967386.0,-21.39087459779762,36.28884826325412,0,
NSE:TITAN,1420.0,1431.95,1403.1,1406.9,2715597.0,-23.688096869047513,24.925595238095248,0,
NSE:TITAN,1421.5,1466.0,1416.6,1452.15,1962042.0,-21.60827845627682,31.789758323474725,0,
NSE:TITAN,1469.0,1474.0,1450.0,1471.15,1293306.0,-18.21687339263849,35.2374839537869,0,
NSE:TITAN,1472.0,1481.65,1466.15,1474.6,1227772.0,-15.07697628132496,40.943600867678924,0,
NSE:TITAN,1452.0,1487.65,1450.55,1470.5,1822476.0,-12.77219106555117,45.26378896882492,0,
NSE:TITAN,1465.0,1493.0,1462.2,1474.2,1954113.0,-10.525738932787817,47.84209449785232,0,
NSE:TITAN,1475.0,1481.25,1451.0,1456.75,1060584.0,-10.037769439223439,46.96787148594378,0,
NSE:TITAN,1470.0,1478.9,1445.0,1456.9,941590.0,-9.52910081105506,49.2637778712663,0,
NSE:TITAN,1470.0,1481.0,1463.0,1471.25,1257628.0,-7.877248172905411,58.51324282216783,0,
NSE:TITAN,1480.0,1507.8,1478.5,1482.5,2631081.0,-5.59585652566102,62.464434230685086,0,
NSE:TITAN,1496.9,1496.9,1471.0,1492.2,1482288.0,-2.9708817988948795,69.95639201285292,0,
NSE:TITAN,1505.0,1531.0,1496.9,1500.95,3191850.0,-0.18241576739592347,68.50336862367665,0,
NSE:TITAN,1494.25,1499.55,1470.05,1472.55,1195023.0,-0.26116841203474905,55.19216996896634,0,
NSE:TITAN,1485.6,1492.9,1463.0,1468.2,1242978.0,-0.6669014708024861,58.54646746011649,0,
NSE:TITAN,1450.0,1470.85,1432.05,1465.45,2360672.0,-1.196556699514531,66.956269910223,0,
NSE:TITAN,1465.0,1468.65,1448.0,1460.3,1331121.0,-2.0087189818443676,53.07431158053559,0,
NSE:TITAN,1460.3,1514.8,1454.0,1495.35,2534795.0,0.17387431811766874,58.14266487213992,1,
NSE:TITAN,1486.0,1508.8,1476.45,1488.15,1871092.0,1.3075428657448356,54.44699704627508,0,
NSE:TITAN,1484.1,1498.5,1447.75,1450.85,1609996.0,-0.7946546295986536,44.70493128536781,-1,
NSE:TITAN,1459.9,1512.4,1457.0,1505.85,1922278.0,1.9548448213954543,56.68144395186824,1,
NSE:TITAN,1510.0,1563.0,1510.0,1552.2,3466049.0,7.784169521503145,67.95860771401692,0,
NSE:TITAN,1549.9,1567.4,1536.75,1558.05,1431746.0,12.729262440146158,68.63142383496037,0,
NSE:TITAN,1560.0,1593.3,1551.55,1559.35,1343989.0,16.562263872813674,67.047213622291,0,
NSE:TITAN,1541.1,1559.0,1500.0,1535.0,1376233.0,17.434133783047855,59.66850828729281,0,
NSE:TITAN,1529.5,1548.0,1509.0,1525.5,1400544.0,17.160708398951556,56.13711758201253,0,
NSE:TITAN,1522.1,1561.45,1508.0,1514.1,2592185.0,15.841520894044834,52.40007300602297,0,
NSE:TITAN,1529.25,1579.0,1525.5,1571.3,2085919.0,19.190402240410776,66.30883567299752,0,
NSE:TITAN,1569.9,1618.0,1561.3,1592.0,3569146.0,23.24675768567863,69.39830774052021,0,
